season,race_name,fullname,numero_quali,tiempo_ms,tiempo_TD,tiempo_min_ms,tiempo_min_TD,diff_ms_with_1st_in_quali,diff_TD_with_1st_in_quali
2021,Bahrain Grand Prix,Max Verstappen,1,90499.0,00:01:30.498,90499.0,0 days 00:01:30.499000,0.0,00:00:00.000
2021,Bahrain Grand Prix,Lewis Hamilton,1,90617.0,00:01:30.617,90499.0,0 days 00:01:30.499000,118.0,00:00:00.118
2021,Bahrain Grand Prix,Valtteri Bottas,1,91200.0,00:01:31.200,90499.0,0 days 00:01:30.499000,701.0,00:00:00.701
2021,Bahrain Grand Prix,Charles Leclerc,1,90691.0,00:01:30.691,90499.0,0 days 00:01:30.499000,192.0,00:00:00.192
2021,Bahrain Grand Prix,Pierre Gasly,1,90848.0,00:01:30.847,90499.0,0 days 00:01:30.499000,349.0,00:00:00.349
2021,Bahrain Grand Prix,Daniel Ricciardo,1,90795.0,00:01:30.795,90499.0,0 days 00:01:30.499000,296.0,00:00:00.296
2021,Bahrain Grand Prix,Lando Norris,1,90902.0,00:01:30.902,90499.0,0 days 00:01:30.499000,403.0,00:00:00.403
2021,Bahrain Grand Prix,Carlos Sainz,1,91653.0,00:01:31.653,90499.0,0 days 00:01:30.499000,1154.0,00:00:01.153
2021,Bahrain Grand Prix,Fernando Alonso,1,90863.0,00:01:30.862,90499.0,0 days 00:01:30.499000,364.0,00:00:00.364
2021,Bahrain Grand Prix,Lance Stroll,1,91261.0,00:01:31.260,90499.0,0 days 00:01:30.499000,762.0,00:00:00.762
2021,Bahrain Grand Prix,Sergio Pérez,1,91165.0,00:01:31.165,90499.0,0 days 00:01:30.499000,666.0,00:00:00.666
2021,Bahrain Grand Prix,Antonio Giovinazzi,1,90998.0,00:01:30.998,90499.0,0 days 00:01:30.499000,499.0,00:00:00.499
2021,Bahrain Grand Prix,Yuki Tsunoda,1,90607.0,00:01:30.606,90499.0,0 days 00:01:30.499000,108.0,00:00:00.108
2021,Bahrain Grand Prix,Kimi Räikkönen,1,91547.0,00:01:31.546,90499.0,0 days 00:01:30.499000,1048.0,00:00:01.048
2021,Bahrain Grand Prix,George Russell,1,91316.0,00:01:31.316,90499.0,0 days 00:01:30.499000,817.0,00:00:00.817
2021,Bahrain Grand Prix,Esteban Ocon,1,91724.0,00:01:31.724,90499.0,0 days 00:01:30.499000,1225.0,00:00:01.225
2021,Bahrain Grand Prix,Nicholas Latifi,1,91936.0,00:01:31.936,90499.0,0 days 00:01:30.499000,1437.0,00:00:01.437
2021,Bahrain Grand Prix,Sebastian Vettel,1,92056.0,00:01:32.055,90499.0,0 days 00:01:30.499000,1557.0,00:00:01.556
2021,Bahrain Grand Prix,Mick Schumacher,1,92449.0,00:01:32.448,90499.0,0 days 00:01:30.499000,1950.0,00:00:01.950
2021,Bahrain Grand Prix,Nikita Mazepin,1,93273.0,00:01:33.272,90499.0,0 days 00:01:30.499000,2774.0,00:00:02.774
2021,Emilia Romagna Grand Prix,Lewis Hamilton,1,74823.0,00:01:14.822,74672.0,0 days 00:01:14.672000,151.0,00:00:00.151
2021,Emilia Romagna Grand Prix,Sergio Pérez,1,75395.0,00:01:15.394,74672.0,0 days 00:01:14.672000,723.0,00:00:00.723
2021,Emilia Romagna Grand Prix,Max Verstappen,1,75109.0,00:01:15.108,74672.0,0 days 00:01:14.672000,437.0,00:00:00.437
2021,Emilia Romagna Grand Prix,Charles Leclerc,1,75413.0,00:01:15.412,74672.0,0 days 00:01:14.672000,741.0,00:00:00.741
2021,Emilia Romagna Grand Prix,Pierre Gasly,1,75548.0,00:01:15.548,74672.0,0 days 00:01:14.672000,876.0,00:00:00.876
2021,Emilia Romagna Grand Prix,Daniel Ricciardo,1,75669.0,00:01:15.668,74672.0,0 days 00:01:14.672000,997.0,00:00:00.997
2021,Emilia Romagna Grand Prix,Lando Norris,1,75009.0,00:01:15.009,74672.0,0 days 00:01:14.672000,337.0,00:00:00.337
2021,Emilia Romagna Grand Prix,Valtteri Bottas,1,74672.0,00:01:14.671,74672.0,0 days 00:01:14.672000,0.0,00:00:00.000
2021,Emilia Romagna Grand Prix,Esteban Ocon,1,75385.0,00:01:15.385,74672.0,0 days 00:01:14.672000,713.0,00:00:00.713
2021,Emilia Romagna Grand Prix,Lance Stroll,1,75522.0,00:01:15.522,74672.0,0 days 00:01:14.672000,850.0,00:00:00.850
2021,Emilia Romagna Grand Prix,Carlos Sainz,1,75406.0,00:01:15.406,74672.0,0 days 00:01:14.672000,734.0,00:00:00.734
2021,Emilia Romagna Grand Prix,George Russell,1,75826.0,00:01:15.825,74672.0,0 days 00:01:14.672000,1154.0,00:00:01.153
2021,Emilia Romagna Grand Prix,Sebastian Vettel,1,75459.0,00:01:15.459,74672.0,0 days 00:01:14.672000,787.0,00:00:00.787
